school_name,grade,average_math_level,average_ela_level,district,lat,long,city,zip,grade_low,grade_high,econ_need_index,perc_ell,perc_asian,perc_black,perc_hispanic,perc_white,perc_attendance,perc_chron_absent,perc_rigorous_instruction,perc_collaborative_teachers,perc_supportive_environment,perc_effective_leadership,perc_community_ties,perc_trust,grades,n_grades,in_manhattan
P.S. 184m Shuang Wen,4,3.31147541,2.583333333,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,5,3.492307692,2.920634921,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,6,3.256097561,3.026315789,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,7,3.125,2.944444444,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,8,3.291666667,3.195652174,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,3,1.775,1.9,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,4,1.868421053,1.783783784,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,5,1.7,1.5625,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,6,2.529411765,2.041666667,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,7,1.796296296,1.592592593,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,8,2.1,1.96,1,40.719888,-73.97738,NEW YORK,10002,PK,8,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
"Technology, Arts, and Sciences Studio",6,1.688888889,2.113636364,1,40.730009,-73.984496,MANHATTAN,10003,6,8,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
"Technology, Arts, and Sciences Studio",7,1.369565217,1.854166667,1,40.730009,-73.984496,MANHATTAN,10003,6,8,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
"Technology, Arts, and Sciences Studio",8,1.29787234,2.125,1,40.730009,-73.984496,MANHATTAN,10003,6,8,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
The East Village Community School,3,3.428571429,2.514285714,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
The East Village Community School,4,2.516129032,2.6875,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
The East Village Community School,5,2.611111111,2.5,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
University Neighborhood Middle School,6,1.756756757,2,1,40.713362,-73.986051,MANHATTAN,10002,6,8,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
University Neighborhood Middle School,7,1.285714286,1.925925926,1,40.713362,-73.986051,MANHATTAN,10002,6,8,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
University Neighborhood Middle School,8,1.3,2,1,40.713362,-73.986051,MANHATTAN,10002,6,8,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
The Children's Workshop School,3,2.818181818,2.454545455,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
The Children's Workshop School,4,2.304347826,2.695652174,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
The Children's Workshop School,5,2.64516129,2.806451613,1,40.727537,-73.978254,MANHATTAN,10009,PK,5,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,3,2.333333333,2.1,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,4,2,1.666666667,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,5,2,2.235294118,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Earth School,3,2.636363636,2.363636364,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
Earth School,4,2.461538462,2.833333333,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
Earth School,5,2.736842105,2.75,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
School for Global Leaders,6,2.238095238,1.916666667,1,40.72004,-73.986038,MANHATTAN,10002,6,8,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
School for Global Leaders,7,2.086956522,1.927536232,1,40.72004,-73.986038,MANHATTAN,10002,6,8,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
School for Global Leaders,8,2.040540541,2.246575342,1,40.72004,-73.986038,MANHATTAN,10002,6,8,0.764,8,15,22,58,2,92,27,79,87,82,77,76,88,"06,07,08",3,Yes
East Side Community School,6,2.557142857,2.485714286,1,40.729152,-73.982472,MANHATTAN,10009,6,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
East Side Community School,7,2.358974359,2.4875,1,40.729152,-73.982472,MANHATTAN,10009,6,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
East Side Community School,8,2.446428571,2.366666667,1,40.729152,-73.982472,MANHATTAN,10009,6,12,0.61,1,11,21,53,12,97,5,92,95,92,96,88,95,"06,07,08,09,10,11,12",7,Yes
"New Explorations into Science, Technology and Math",3,3.816513761,3.445454545,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",4,3.789473684,3.675438596,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",5,3.798165138,3.660550459,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",6,3.866197183,3.556338028,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
"New Explorations into Science, Technology and Math",7,3.638095238,3.625,1,40.719416,-73.979581,MANHATTAN,10002,0K,12,0.257,0,33,9,11,42,97,3,81,73,85,55,81,74,"0K,01,02,03,04,05,06,07,08,09,10,11,12",13,Yes
Tompkins Square Middle School,6,2.649484536,2.5,1,40.72313,-73.981597,MANHATTAN,10009,6,8,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
Tompkins Square Middle School,7,2.387096774,2.741935484,1,40.72313,-73.981597,MANHATTAN,10009,6,8,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
Tompkins Square Middle School,8,2.203389831,2.453333333,1,40.72313,-73.981597,MANHATTAN,10009,6,8,0.597,3,23,16,37,20,96,7,90,89,88,86,83,94,"06,07,08",3,Yes
P.S. 001 Alfred E. Smith,3,3.117647059,2.6,2,40.71255,-73.997478,MANHATTAN,10038,PK,5,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 001 Alfred E. Smith,4,2.765625,2.475409836,2,40.71255,-73.997478,MANHATTAN,10038,PK,5,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 001 Alfred E. Smith,5,2.585714286,1.873239437,2,40.71255,-73.997478,MANHATTAN,10038,PK,5,0.769,25,64,12,22,1,95,18,89,91,95,86,87,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,3,3.1484375,2.488,2,40.712907,-73.991523,MANHATTAN,10002,PK,5,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,4,3.146788991,2.490566038,2,40.712907,-73.991523,MANHATTAN,10002,PK,5,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 002 Meyer London,5,2.820754717,2.269230769,2,40.712907,-73.991523,MANHATTAN,10002,PK,5,0.858,36,85,4,9,1,98,6,93,86,94,76,83,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,3,3.266666667,2.752380952,2,40.732603,-74.005949,MANHATTAN,10014,PK,5,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,4,3.146853147,3.021126761,2,40.732603,-74.005949,MANHATTAN,10014,PK,5,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 003 Charrette School,5,3.203389831,2.93442623,2,40.732603,-74.005949,MANHATTAN,10014,PK,5,0.176,4,7,5,12,70,95,13,97,93,97,93,96,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 006 Lillie D. Blake,3,3.53968254,3.24,2,40.777737,-73.960427,MANHATTAN,10028,0K,5,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 006 Lillie D. Blake,4,3.43697479,3.264957265,2,40.777737,-73.960427,MANHATTAN,10028,0K,5,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 006 Lillie D. Blake,5,3.272727273,3.256880734,2,40.777737,-73.960427,MANHATTAN,10028,0K,5,0.101,2,13,2,7,75,96,5,87,90,95,87,92,90,"0K,01,02,03,04,05",6,Yes
P.S. 011 William T. Harris,3,3.027777778,2.777777778,2,40.744186,-74.000743,MANHATTAN,10011,PK,5,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 011 William T. Harris,4,3.040268456,3.062068966,2,40.744186,-74.000743,MANHATTAN,10011,PK,5,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 011 William T. Harris,5,2.87704918,2.68852459,2,40.744186,-74.000743,MANHATTAN,10011,PK,5,0.293,3,14,7,25,49,96,10,93,93,98,91,93,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,3,3.25,2.791208791,2,40.749014,-74.000238,MANHATTAN,10001,PK,5,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,4,3.193877551,3.092783505,2,40.749014,-74.000238,MANHATTAN,10001,PK,5,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 033 Chelsea Prep,5,2.680851064,2.70212766,2,40.749014,-74.000238,MANHATTAN,10001,PK,5,0.43,4,25,12,30,26,96,13,97,90,94,82,92,89,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,3,3.368421053,3.096774194,2,40.735328,-73.981536,MANHATTAN,10003,PK,5,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,4,3.3,3.363636364,2,40.735328,-73.981536,MANHATTAN,10003,PK,5,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 040 Augustus Saint-Gaudens,5,3.372340426,3.47311828,2,40.735328,-73.981536,MANHATTAN,10003,PK,5,0.153,3,9,3,13,64,96,7,97,94,99,91,96,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,3,3.263636364,3.027272727,2,40.73545,-73.999094,MANHATTAN,10011,PK,5,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,4,3.45045045,3.459459459,2,40.73545,-73.999094,MANHATTAN,10011,PK,5,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 041 Greenwich Village,5,3.339622642,3.214953271,2,40.73545,-73.999094,MANHATTAN,10011,PK,5,0.066,2,9,2,10,69,97,2,95,96,98,92,95,98,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,3,3.292307692,2.80620155,2,40.716126,-73.990826,MANHATTAN,10002,PK,5,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,4,3.393700787,2.717741935,2,40.716126,-73.990826,MANHATTAN,10002,PK,5,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 042 Benjamin Altman,5,3.2,2.5859375,2,40.716126,-73.990826,MANHATTAN,10002,PK,5,0.785,27,93,0,4,2,98,2,91,94,96,89,85,96,"PK,0K,01,02,03,04,05",7,Yes
P.S. 051 Elias Howe,3,2.622222222,2.177777778,2,40.761487,-73.995825,MANHATTAN,10036,0K,5,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 051 Elias Howe,4,2.12,2.270833333,2,40.761487,-73.995825,MANHATTAN,10036,0K,5,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 051 Elias Howe,5,2.4,2.2,2,40.761487,-73.995825,MANHATTAN,10036,0K,5,0.626,9,24,12,42,20,94,15,90,95,97,91,89,97,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,3,3.206185567,2.947368421,2,40.759248,-73.967204,MANHATTAN,10019,0K,5,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,4,3.436170213,3.217391304,2,40.759248,-73.967204,MANHATTAN,10019,0K,5,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 059 Beekman Hill International,5,3.340659341,3.21978022,2,40.759248,-73.967204,MANHATTAN,10019,0K,5,0.075,4,15,2,13,59,96,6,87,87,95,76,94,89,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,3,3.790322581,3.548387097,2,40.785018,-73.95042,MANHATTAN,10128,0K,5,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,4,3.783333333,3.833333333,2,40.785018,-73.95042,MANHATTAN,10128,0K,5,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 77 Lower Lab School,5,3.730769231,3.711538462,2,40.785018,-73.95042,MANHATTAN,10128,0K,5,0.069,0,27,0,5,59,97,1,93,96,98,93,95,99,"0K,01,02,03,04,05",6,Yes
P.S. 89,3,3.392156863,3.020833333,2,40.71701,-74.013967,MANHATTAN,10282,PK,5,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 89,4,3.525423729,3.474576271,2,40.71701,-74.013967,MANHATTAN,10282,PK,5,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 89,5,3.425531915,3.217391304,2,40.71701,-74.013967,MANHATTAN,10282,PK,5,0.068,4,16,2,14,62,96,6,95,94,98,90,93,97,"PK,0K,01,02,03,04,05",7,Yes
J.H.S. 104 Simon Baruch,6,3.01396648,2.728571429,2,40.735879,-73.981034,MANHATTAN,10010,6,8,0.522,5,40,8,21,28,96,11,87,89,85,84,70,92,"06,07,08",3,Yes
J.H.S. 104 Simon Baruch,7,2.973614776,2.85106383,2,40.735879,-73.981034,MANHATTAN,10010,6,8,0.522,5,40,8,21,28,96,11,87,89,85,84,70,92,"06,07,08",3,Yes
J.H.S. 104 Simon Baruch,8,2.253521127,2.798742138,2,40.735879,-73.981034,MANHATTAN,10010,6,8,0.522,5,40,8,21,28,96,11,87,89,85,84,70,92,"06,07,08",3,Yes
P.S. 111 Adolph S. Ochs,3,2.5,2.302325581,2,40.76588,-73.989776,MANHATTAN,10019,PK,5,0.645,12,18,16,50,13,92,26,89,79,81,74,88,86,"PK,0K,01,02,03,04,05",7,Yes
P.S. 111 Adolph S. Ochs,4,1.955555556,2.266666667,2,40.76588,-73.989776,MANHATTAN,10019,PK,5,0.645,12,18,16,50,13,92,26,89,79,81,74,88,86,"PK,0K,01,02,03,04,05",7,Yes
